a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.Judgements	a.Comments	a.comment	a.rank	m._Q1	m._Sno	m._Q2	b.data
tiielle	10	10	0004d0b59e19461ff126e3a08a814c33	1970	2015-07-14	QueryPair	Good			0	san diego trips	1970	trip to san diego	san diego trips
tiielle	1036	1036	23ce1851341ec1fa9e0c259de10bf87c	916	2015-07-14	QueryPair	Excellent			0	doubletree berkeley	916	berkeley doubletree	doubletree berkeley
tiielle	104	104	92fb0c6d1758261f10d052e6e2c1123c	851	2015-07-14	QueryPair	Excellent			0	las vegas weekend vacation packages	851	las vegas vacation packages	las vegas weekend vacation packages
tiielle	1045	1045	fec8d47d412bcbeece3d9128ae855a7a	982	2015-07-14	QueryPair	Excellent			0	seaworld san diego ticket	982	sea world san diego tickets	seaworld san diego ticket
tiielle	1069	1069	72da7fd6d1302c0a159f6436d01e9eb0	782	2015-07-14	QueryPair	Excellent			0	days inn athens tn	782	days inn athens tennessee	days inn athens tn
tiielle	1079	1079	82161242827b703e6acf9c726942a1e4	175	2015-07-14	QueryPair	Excellent			0	doubletree hotel los angeles ca	175	doubletree hotel los angeles	doubletree hotel los angeles ca
tiielle	1080	1080	bc6dc48b743dc5d013b1abaebd2faed2	323	2015-07-15	QueryPair	Excellent			0	peabody hotel memphis tn	323	the peabody hotel memphis tn	peabody hotel memphis tn
tiielle	1093	1093	a2137a2ae8e39b5002a3f8909ecb88fe	1065	2015-07-14	QueryPair	Excellent			0	rhodes greece	1065	greece rhodes	rhodes greece
tiielle	1104	1104	3def184ad8f4755ff269862ea77393dd	125	2015-07-14	QueryPair	Excellent			0	vacation hawaii packages	125	hawaii vacation getaway	vacation hawaii packages
tiielle	1122	1122	93d65641ff3f1586614cf2c1ad240b6c	1022	2015-07-14	QueryPair	Fair			0	christmas las vegas	1022	gift las vegas	christmas las vegas
tiielle	1124	1124	4b04a686b0ad13dce35fa99fa4161c65	785	2015-07-15	QueryPair	Excellent			0	sheraton palace hotel san francisco	785	sheraton palace san francisco	sheraton palace hotel san francisco
tiielle	1146	1146	7ce3284b743aefde80ffd9aec500e085	887	2015-07-14	QueryPair	Fair			0	google puerto rico	887	about puerto rico	google puerto rico
tiielle	122	122	f47330643ae134ca204bf6b2481fec47	1182	2015-07-14	QueryPair	Good			0	la jolla california	1182	la jolla cove ca	la jolla california
tiielle	1230	1230	b4568df26077653eeadf29596708c94b	1881	2015-07-15	QueryPair	Excellent			0	riu merengue puerto plata dominican republic	1881	riu merengue puerto plata dr	riu merengue puerto plata dominican republic
tiielle	1239	1239	7bc1ec1d9c3426357e69acd5bf320061	2173	2015-07-14	QueryPair	Excellent			0	cheap flight las vegas	2173	cheap flights las vegas nevada	cheap flight las vegas
tiielle	1245	1245	5ea1649a31336092c05438df996a3e59	537	2015-07-15	QueryPair	Fair			0	puerto vallarta mexico	537	puerto vallarta hotel	puerto vallarta mexico
tiielle	1256	1256	03afdbd66e7929b125f8597834fa83a4	63	2015-07-14	QueryPair	Good			0	tickets fort lauderdale	63	trip to fort lauderdale	tickets fort lauderdale
tiielle	1270	1270	9f36407ead0629fc166f14dde7970f68	1084	2015-07-14	QueryPair	Excellent			0	cn tower toronto	1084	cn tower	cn tower toronto
tiielle	130	130	e0ab531ec312161511493b002f9be2ee	1831	2015-07-14	QueryPair	Bad			0	regency san francisco	1831	san francisco embarcadero	regency san francisco
tiielle	1309	1309	277a78fc05c8864a170e9a56ceeabc4c	1957	2015-07-14	QueryPair	Excellent			0	tenface bangkok	1957	tenface bangkok hotel	tenface bangkok
